Công Cụ Phân Tích Từ Khóa Miễn Phí - Keyword Planner Free

STT	Keyword	Volume	Length	Trend	Trend Data	Difficulty	Competition	Avg.CPC	KW Type	Question
685	Upgrade VIP to view	30	4	50,10,20,10,30,10,30,30,50,70,40,40,20	50;10;20;10;30;10;30;30;50;70;40;40;20	60	100	0.09	phrase	
686	Upgrade VIP to view	30	3	30,20,30,20,30,20,20,50,50,70,40,20,10	30;20;30;20;30;20;20;50;50;70;40;20;10	64	100	0.09	phrase	
687	Upgrade VIP to view	30	4	30,20,40,20,30,10,20,30,50,40,20,20,20	30;20;40;20;30;10;20;30;50;40;20;20;20	58	95	0.44	phrase	
688	Upgrade VIP to view	30	6	40,20,10,10,20,10,10,20,50,50,30,30,20	40;20;10;10;20;10;10;20;50;50;30;30;20	51	100	0.09	phrase	
689	Upgrade VIP to view	30	6	40,30,30,20,20,20,20,40,50,50,40,30,30	40;30;30;20;20;20;20;40;50;50;40;30;30	51	100	0.07	phrase	
690	Upgrade VIP to view	30	5	40,30,50,40,40,30,20,30,50,40,30,20,30	40;30;50;40;40;30;20;30;50;40;30;20;30	56	100	0.17	phrase	
691	Upgrade VIP to view	30	4	30,20,20,30,30,10,20,20,50,50,20,20,20	30;20;20;30;30;10;20;20;50;50;20;20;20	53	81	0.02	phrase	
692	Upgrade VIP to view	30	7	30,20,20,20,20,10,20,20,40,70,40,30,30	30;20;20;20;20;10;20;20;40;70;40;30;30	26	37	0.10	phrase	
693	Upgrade VIP to view	30	6	50,40,20,20,20,10,20,30,30,40,40,40,40	50;40;20;20;20;10;20;30;30;40;40;40;40	35	51	0.46	phrase	
694	Upgrade VIP to view	30	6	50,20,20,10,10,10,10,30,90,70,40,20,20	50;20;20;10;10;10;10;30;90;70;40;20;20	48	90	0.08	phrase	
695	Upgrade VIP to view	30	4	20,40,30,30,30,10,30,30,50,40,30,30,30	20;40;30;30;30;10;30;30;50;40;30;30;30	58	94	0.10	phrase	
696	Upgrade VIP to view	30	4	20,20,20,10,10,10,10,40,90,40,20,20,30	20;20;20;10;10;10;10;40;90;40;20;20;30	55	86	0.14	phrase	
697	Upgrade VIP to view	30	4	30,20,20,10,10,10,10,30,50,50,40,10,40	30;20;20;10;10;10;10;30;50;50;40;10;40	60	100	0.02	phrase	
698	Upgrade VIP to view	30	4	30,20,20,20,20,30,20,30,50,50,20,40,20	30;20;20;20;20;30;20;30;50;50;20;40;20	59	98	0.09	phrase	
699	Upgrade VIP to view	30	4	50,10,20,10,30,10,30,30,50,70,40,40,20	50;10;20;10;30;10;30;30;50;70;40;40;20	60	100	0.09	phrase	
700	Upgrade VIP to view	30	7	70,40,30,20,10,20,20,20,30,30,20,10,10	70;40;30;20;10;20;20;20;30;30;20;10;10	47	100	0.09	phrase	
701	Upgrade VIP to view	30	7	10,0,10,10,0,0,10,50,110,170,10,20,10	10;0;10;10;0;0;10;50;110;170;10;20;10	47	100	0.19	phrase	
702	Upgrade VIP to view	30	7	50,30,50,30,20,30,10,30,30,30,20,20,10	50;30;50;30;20;30;10;30;30;30;20;20;10	47	100	0.09	phrase	
703	Upgrade VIP to view	30	4	20,20,20,20,10,10,20,50,50,70,50,40,30	20;20;20;20;10;10;20;50;50;70;50;40;30	60	100	0.11	phrase	
704	Upgrade VIP to view	30	4	40,20,40,20,20,40,10,30,50,40,30,40,30	40;20;40;20;20;40;10;30;50;40;30;40;30	60	100	0.19	phrase	
705	Upgrade VIP to view	30	5	30,20,20,20,30,10,20,20,40,40,50,30,20	30;20;20;20;30;10;20;20;40;40;50;30;20	56	100	0.10	phrase	
706	Upgrade VIP to view	30	5	40,10,20,10,10,20,20,20,70,90,30,40,30	40;10;20;10;10;20;20;20;70;90;30;40;30	55	97	0.09	phrase	
707	Upgrade VIP to view	30	3	10,20,50,30,20,10,10,40,40,40,50,30,30	10;20;50;30;20;10;10;40;40;40;50;30;30	57	79	0.02	broad	
708	Upgrade VIP to view	30	5	30,20,30,30,30,10,10,40,30,30,50,30,20	30;20;30;30;30;10;10;40;30;30;50;30;20	56	100	0.48	broad	
709	Upgrade VIP to view	30	5	20,10,20,30,20,20,10,30,40,70,40,70,70	20;10;20;30;20;20;10;30;40;70;40;70;70	36	42	0.02	broad	
710	Upgrade VIP to view	30	7	50,40,50,30,30,20,10,20,20,40,20,40,10	50;40;50;30;30;20;10;20;20;40;20;40;10	47	100	0.33	broad	
711	Upgrade VIP to view	30	6	40,40,40,30,20,20,10,40,50,30,50,30,20	40;40;40;30;20;20;10;40;50;30;50;30;20	51	100	0.29	broad	
712	Upgrade VIP to view	30	6	50,70,40,20,20,10,10,40,20,20,30,20,10	50;70;40;20;20;10;10;40;20;20;30;20;10	51	100	0.29	broad	
713	Upgrade VIP to view	30	8	30,30,30,40,40,30,20,40,50,30,40,20,20	30;30;30;40;40;30;20;40;50;30;40;20;20	39	87	0.41	phrase	
714	Upgrade VIP to view	30	8	140,90,50,30,20,10,10,10,10,20,10,10,10	140;90;50;30;20;10;10;10;10;20;10;10;10	43	100	0.02	phrase	
715	Upgrade VIP to view	30	5	30,20,10,20,20,20,10,30,40,70,30,30,20	30;20;10;20;20;20;10;30;40;70;30;30;20	56	100	0.07	phrase	
716	Upgrade VIP to view	30	5	30,20,20,20,30,10,20,20,40,40,50,30,20	30;20;20;20;30;10;20;20;40;40;50;30;20	56	100	0.10	phrase	
717	Upgrade VIP to view	30	6	40,30,20,20,20,20,10,40,50,40,30,30,20	40;30;20;20;20;20;10;40;50;40;30;30;20	51	100	0.17	broad	
718	Upgrade VIP to view	30	5	20,20,20,30,90,30,20,30,20,20,30,10,20	20;20;20;30;90;30;20;30;20;20;30;10;20	49	80	0.22	broad	
719	Upgrade VIP to view	30	8	90,30,10,10,10,10,10,10,30,70,30,20,20	90;30;10;10;10;10;10;10;30;70;30;20;20	21	33	0.02	phrase	
720	Upgrade VIP to view	30	4	40,20,30,30,20,10,20,30,30,40,20,40,20	40;20;30;30;20;10;20;30;30;40;20;40;20	60	100	0.02	phrase	
721	Upgrade VIP to view	30	3	20,10,10,10,10,10,10,30,70,90,110,40,40	20;10;10;10;10;10;10;30;70;90;110;40;40	64	100	0.02	phrase	
722	Upgrade VIP to view	30	1	20,10,30,20,20,20,10,20,50,30,50,30,20	20;10;30;20;20;20;10;20;50;30;50;30;20	61	67	0.02	broad	
723	Upgrade VIP to view	30	1	40,20,20,20,30,20,10,30,40,30,30,30,30	40;20;20;20;30;20;10;30;40;30;30;30;30	69	90	0.14	broad	
724	Upgrade VIP to view	30	1	30,20,30,20,20,20,10,30,30,30,30,20,30	30;20;30;20;20;20;10;30;30;30;30;20;30	70	92	0.02	broad	
725	Upgrade VIP to view	30	1	30,30,30,40,40,30,10,30,40,50,50,30,20	30;30;30;40;40;30;10;30;40;50;50;30;20	42	8	0.02	broad	
726	Upgrade VIP to view	30	1	20,20,40,30,30,30,10,30,50,30,50,40,30	20;20;40;30;30;30;10;30;50;30;50;40;30	41	7	0.02	broad	
727	Upgrade VIP to view	30	1	50,30,30,30,30,40,10,30,30,40,30,20,20	50;30;30;30;30;40;10;30;30;40;30;20;20	51	36	0.02	broad	
728	Upgrade VIP to view	30	1	30,30,30,20,20,20,10,20,40,50,40,30,50	30;30;30;20;20;20;10;20;40;50;40;30;50	47	24	0.11	broad	
729	Upgrade VIP to view	30	1	40,30,40,40,30,20,10,30,40,30,30,30,30	40;30;40;40;30;20;10;30;40;30;30;30;30	69	89	0.29	broad	
730	Upgrade VIP to view	30	1	50,40,40,40,30,20,20,30,30,40,30,30,20	50;40;40;40;30;20;20;30;30;40;30;30;20	53	42	0.02	broad	
731	Upgrade VIP to view	30	1	50,40,50,20,40,20,10,20,40,20,40,50,30	50;40;50;20;40;20;10;20;40;20;40;50;30	71	95	0.34	broad	
732	Upgrade VIP to view	30	1	40,30,30,20,40,20,20,20,30,20,40,20,20	40;30;30;20;40;20;20;20;30;20;40;20;20	72	100	0.46	broad	
733	Upgrade VIP to view	30	1	50,30,30,20,40,30,10,20,20,30,20,30,30	50;30;30;20;40;30;10;20;20;30;20;30;30	65	77	0.26	broad	
734	Upgrade VIP to view	30	7	30,10,20,10,10,10,10,40,70,90,50,40,20	30;10;20;10;10;10;10;40;70;90;50;40;20	30	48	0.02	phrase	
735	Upgrade VIP to view	30	3	20,30,20,20,30,20,20,20,40,30,30,30,20	20;30;20;20;30;20;20;20;40;30;30;30;20	64	100	0.14	phrase	
736	Upgrade VIP to view	30	7	10,30,30,30,90,30,40,40,20,30,20,30,20	10;30;30;30;90;30;40;40;20;30;20;30;20	43	88	0.02	phrase	
737	Upgrade VIP to view	30	5	40,20,10,10,40,90,20,20,20,40,50,20,10	40;20;10;10;40;90;20;20;20;40;50;20;10	53	92	3.87	phrase	
738	Upgrade VIP to view	30	3	40,20,30,30,30,20,10,30,30,50,30,20,30	40;20;30;30;30;20;10;30;30;50;30;20;30	64	100	0.36	phrase	
739	Upgrade VIP to view	30	2	30,10,10,0,10,10,10,20,30,110,70,50,20	30;10;10;0;10;10;10;20;30;110;70;50;20	68	100	0.10	exact	
740	Upgrade VIP to view	30	5	20,10,20,20,10,10,10,20,90,110,90,20,10	20;10;20;20;10;10;10;20;90;110;90;20;10	56	100	0.07	exact	
741	Upgrade VIP to view	30	4	70,50,20,10,10,10,10,20,30,90,50,20,20	70;50;20;10;10;10;10;20;30;90;50;20;20	60	100	0.10	phrase	
742	Upgrade VIP to view	30	6	20,20,10,10,10,20,10,110,70,70,50,10,10	20;20;10;10;10;20;10;110;70;70;50;10;10	51	100	0.06	phrase	
743	Upgrade VIP to view	30	4	50,20,10,10,20,20,10,30,50,70,70,30,20	50;20;10;10;20;20;10;30;50;70;70;30;20	60	100	0.12	phrase	
744	Upgrade VIP to view	30	10	70,50,50,40,30,20,10,20,30,40,30,20,30	70;50;50;40;30;20;10;20;30;40;30;20;30	34	98	0.15	phrase	
745	Upgrade VIP to view	30	8	70,40,30,10,20,20,10,30,40,70,50,30,20	70;40;30;10;20;20;10;30;40;70;50;30;20	43	100	0.08	phrase	
746	Upgrade VIP to view	30	6	70,10,10,10,10,10,10,30,30,140,90,20,20	70;10;10;10;10;10;10;30;30;140;90;20;20	51	100	0.07	phrase	
747	Upgrade VIP to view	30	7	110,40,10,10,10,10,10,40,70,50,30,20,30	110;40;10;10;10;10;10;40;70;50;30;20;30	47	100	0.09	phrase	
748	Upgrade VIP to view	30	5	110,30,10,10,10,10,10,10,30,70,40,30,20	110;30;10;10;10;10;10;10;30;70;40;30;20	54	96	0.09	phrase	
749	Upgrade VIP to view	30	6	40,30,40,10,10,20,10,40,70,40,50,20,40	40;30;40;10;10;20;10;40;70;40;50;20;40	51	100	0.09	phrase	
750	Upgrade VIP to view	30	6	70,20,20,10,20,10,10,20,20,70,90,40,50	70;20;20;10;20;10;10;20;20;70;90;40;50	51	100	0.08	phrase	
751	Upgrade VIP to view	30	7	50,40,40,40,20,10,10,30,50,50,70,20,20	50;40;40;40;20;10;10;30;50;50;70;20;20	47	100	0.10	phrase	
752	Upgrade VIP to view	30	6	70,40,20,10,10,0,10,10,20,50,50,40,50	70;40;20;10;10;0;10;10;20;50;50;40;50	27	28	0.04	phrase	
753	Upgrade VIP to view	30	5	40,20,20,40,10,30,10,30,30,50,70,20,30	40;20;20;40;10;30;10;30;30;50;70;20;30	56	100	0.07	phrase	
754	Upgrade VIP to view	30	5	50,40,20,10,10,10,10,20,50,70,70,20,20	50;40;20;10;10;10;10;20;50;70;70;20;20	56	100	0.07	phrase	
755	Upgrade VIP to view	30	5	40,30,10,10,10,10,10,40,70,110,70,40,40	40;30;10;10;10;10;10;40;70;110;70;40;40	56	100	0.08	phrase	
756	Upgrade VIP to view	30	5	10,10,10,10,10,10,20,20,70,90,50,50,50	10;10;10;10;10;10;20;20;70;90;50;50;50	39	51	0.02	phrase	
757	Upgrade VIP to view	30	4	10,20,10,10,10,20,10,40,50,70,70,20,20	10;20;10;10;10;20;10;40;50;70;70;20;20	51	74	0.02	phrase	
758	Upgrade VIP to view	30	6	30,10,10,10,10,10,10,50,70,70,50,20,10	30;10;10;10;10;10;10;50;70;70;50;20;10	51	100	0.05	phrase	
759	Upgrade VIP to view	30	4	50,30,20,10,10,10,10,30,40,70,70,20,20	50;30;20;10;10;10;10;30;40;70;70;20;20	59	98	0.25	broad	
760	Upgrade VIP to view	30	6	20,50,30,30,20,10,10,30,30,50,40,40,20	20;50;30;30;20;10;10;30;30;50;40;40;20	51	100	0.02	broad	
761	Upgrade VIP to view	30	6	30,10,10,10,10,10,10,30,50,70,70,20,20	30;10;10;10;10;10;10;30;50;70;70;20;20	51	100	0.05	phrase	
762	Upgrade VIP to view	30	4	50,10,10,10,10,10,10,20,40,70,90,30,20	50;10;10;10;10;10;10;20;40;70;90;30;20	60	100	0.08	phrase	
763	Upgrade VIP to view	30	3	20,40,30,10,30,10,10,20,30,30,40,40,20	20;40;30;10;30;10;10;20;30;30;40;40;20	46	45	0.02	broad	
764	Upgrade VIP to view	30	5	30,20,30,30,20,20,10,30,40,30,30,30,20	30;20;30;30;20;20;10;30;40;30;30;30;20	56	100	0.02	broad	
765	Upgrade VIP to view	30	5	30,30,40,30,30,20,10,30,40,30,70,30,20	30;30;40;30;30;20;10;30;40;30;70;30;20	56	100	0.16	broad	
766	Upgrade VIP to view	30	8	40,30,30,20,30,10,10,20,30,30,40,50,40	40;30;30;20;30;10;10;20;30;30;40;50;40	43	100	0.18	broad	
767	Upgrade VIP to view	30	6	30,10,10,10,10,10,10,30,50,70,70,20,20	30;10;10;10;10;10;10;30;50;70;70;20;20	51	100	0.05	phrase	
768	Upgrade VIP to view	30	7	40,30,10,10,10,10,10,30,50,90,70,10,10	40;30;10;10;10;10;10;30;50;90;70;10;10	47	100	0.16	phrase	
769	Upgrade VIP to view	30	6	70,40,20,10,10,10,10,40,40,70,30,10,10	70;40;20;10;10;10;10;40;40;70;30;10;10	51	100	0.06	phrase	
770	Upgrade VIP to view	30	4	30,30,10,10,20,30,20,20,50,40,40,10,30	30;30;10;10;20;30;20;20;50;40;40;10;30	36	28	0.02	broad	
771	Upgrade VIP to view	20	1	10,30,20,10,20,10,10,20,30,20,20,20,10	10;30;20;10;20;10;10;20;30;20;20;20;10	47	24	0.02	broad	
772	Upgrade VIP to view	20	2	30,40,10,10,10,10,10,10,30,40,30,30,20	30;40;10;10;10;10;10;10;30;40;30;30;20	35	0	0.02	phrase	
773	Upgrade VIP to view	20	1	20,20,10,30,10,10,10,10,40,40,40,30,10	20;20;10;30;10;10;10;10;40;40;40;30;10	69	91	0.02	broad	
774	Upgrade VIP to view	20	1	20,20,20,10,20,10,20,10,20,40,30,20,10	20;20;20;10;20;10;20;10;20;40;30;20;10	71	95	0.02	broad	
775	Upgrade VIP to view	20	1	30,20,10,20,10,40,10,20,20,40,30,40,40	30;20;10;20;10;40;10;20;20;40;30;40;40	69	91	0.02	broad	
776	Upgrade VIP to view	20	1	20,10,10,10,10,10,10,20,20,50,30,20,20	20;10;10;10;10;10;10;20;20;50;30;20;20	46	22	0.02	broad	
777	Upgrade VIP to view	20	1	20,30,30,20,10,10,10,30,10,30,20,30,10	20;30;30;20;10;10;10;30;10;30;20;30;10	39	0	0.02	broad	
778	Upgrade VIP to view	20	1	30,20,30,10,10,20,10,10,10,10,20,10,20	30;20;30;10;10;20;10;10;10;10;20;10;20	41	7	0.02	broad	
779	Upgrade VIP to view	20	1	20,10,20,10,20,10,10,30,20,20,20,40,20	20;10;20;10;20;10;10;30;20;20;20;40;20	45	17	0.02	broad	
780	Upgrade VIP to view	20	1	20,20,30,20,20,20,10,20,10,20,20,10,10	20;20;30;20;20;20;10;20;10;20;20;10;10	70	93	0.02	broad	
781	Upgrade VIP to view	20	4	30,20,10,10,10,10,10,10,40,30,40,20,10	30;20;10;10;10;10;10;10;40;30;40;20;10	59	97	0.18	phrase	
782	Upgrade VIP to view	20	5	20,10,20,10,20,10,10,20,20,30,20,20,10	20;10;20;10;20;10;10;20;20;30;20;20;10	54	96	0.06	phrase	
783	Upgrade VIP to view	20	6	20,20,20,10,10,20,10,20,30,10,20,30,30	20;20;20;10;10;20;10;20;30;10;20;30;30	42	73	0.02	broad	
784	Upgrade VIP to view	20	1	20,30,20,20,20,30,10,20,10,20,10,10,20	20;30;20;20;20;30;10;20;10;20;10;10;20	48	26	0.02	broad	
785	Upgrade VIP to view	20	6	10,10,20,70,10,70,10,10,10,10,10,10,10	10;10;20;70;10;70;10;10;10;10;10;10;10	21	10	0.02	broad	
786	Upgrade VIP to view	20	7	70,20,10,10,0,10,10,10,30,50,30,20,20	70;20;10;10;0;10;10;10;30;50;30;20;20	47	100	0.02	phrase	
787	Upgrade VIP to view	20	6	30,10,10,10,10,10,0,10,20,50,30,10,30	30;10;10;10;10;10;0;10;20;50;30;10;30	48	89	0.04	phrase	
788	Upgrade VIP to view	20	7	30,10,10,10,0,10,0,10,20,90,70,10,20	30;10;10;10;0;10;0;10;20;90;70;10;20	36	67	0.02	phrase	
789	Upgrade VIP to view	20	2	20,20,20,30,10,10,10,10,10,40,30,30,20	20;20;20;30;10;10;10;10;10;40;30;30;20	45	30	0.02	broad	
790	Upgrade VIP to view	20	1	20,20,30,20,20,20,10,30,20,30,20,20,20	20;20;30;20;20;20;10;30;20;30;20;20;20	67	83	0.02	broad	
791	Upgrade VIP to view	20	5	40,10,20,10,10,10,0,10,30,50,50,20,20	40;10;20;10;10;10;0;10;30;50;50;20;20	41	55	0.02	phrase	
792	Upgrade VIP to view	20	7	20,20,20,10,10,20,10,10,30,40,20,10,20	20;20;20;10;10;20;10;10;30;40;20;10;20	24	30	0.02	phrase	
793	Upgrade VIP to view	20	5	30,10,20,10,10,10,10,20,40,40,40,20,10	30;10;20;10;10;10;10;20;40;40;40;20;10	56	100	0.11	phrase	
794	Upgrade VIP to view	20	5	10,10,30,10,10,10,10,30,20,20,20,10,20	10;10;30;10;10;10;10;30;20;20;20;10;20	56	100	0.10	phrase	
795	Upgrade VIP to view	20	5	40,30,20,20,10,10,10,20,40,50,40,20,10	40;30;20;20;10;10;10;20;40;50;40;20;10	52	88	0.02	phrase	
796	Upgrade VIP to view	20	5	30,10,10,20,40,20,30,30,30,40,10,20,20	30;10;10;20;40;20;30;30;30;40;10;20;20	23	2	0.02	phrase	
797	Upgrade VIP to view	20	4	30,10,10,40,40,20,20,20,10,20,20,20,50	30;10;10;40;40;20;20;20;10;20;20;20;50	34	24	0.32	phrase	
798	Upgrade VIP to view	20	3	20,20,10,10,20,10,10,20,20,30,20,10,30	20;20;10;10;20;10;10;20;20;30;20;10;30	46	46	0.45	phrase	
799	Upgrade VIP to view	20	4	30,20,10,10,10,10,10,10,30,40,20,10,10	30;20;10;10;10;10;10;10;30;40;20;10;10	60	100	0.09	exact	
800	Upgrade VIP to view	20	4	10,10,10,10,10,10,10,10,50,70,30,10,20	10;10;10;10;10;10;10;10;50;70;30;10;20	60	100	0.08	exact	
801	Upgrade VIP to view	20	4	20,10,20,10,10,10,10,20,50,50,20,30,10	20;10;20;10;10;10;10;20;50;50;20;30;10	60	100	0.09	exact	
802	Upgrade VIP to view	20	3	20,20,20,20,20,10,10,20,20,30,20,10,20	20;20;20;20;20;10;10;20;20;30;20;10;20	62	94	0.12	exact	
803	Upgrade VIP to view	20	3	30,20,20,20,20,10,10,30,30,30,50,30,10	30;20;20;20;20;10;10;30;30;30;50;30;10	64	100	0.02	exact	
804	Upgrade VIP to view	20	3	20,20,30,20,20,10,10,20,30,30,40,20,20	20;20;30;20;20;10;10;20;30;30;40;20;20	61	92	0.15	exact	
805	Upgrade VIP to view	20	2	30,10,10,10,10,10,10,20,20,30,20,10,10	30;10;10;10;10;10;10;20;20;30;20;10;10	68	100	0.02	exact	
806	Upgrade VIP to view	20	2	20,20,20,20,10,10,20,10,30,30,30,20,30	20;20;20;20;10;10;20;10;30;30;30;20;30	65	91	0.09	exact	
807	Upgrade VIP to view	20	2	30,10,10,10,20,10,10,20,40,40,20,20,20	30;10;10;10;20;10;10;20;40;40;20;20;20	65	92	0.02	exact	
808	Upgrade VIP to view	20	2	20,10,20,30,10,10,10,10,50,30,20,10,10	20;10;20;30;10;10;10;10;50;30;20;10;10	68	100	0.02	exact	
809	Upgrade VIP to view	20	2	30,10,20,10,10,10,10,10,20,20,20,20,20	30;10;20;10;10;10;10;10;20;20;20;20;20	35	1	0.02	exact	
810	Upgrade VIP to view	20	2	30,10,20,10,10,10,10,30,30,40,30,20,30	30;10;20;10;10;10;10;30;30;40;30;20;30	44	29	0.25	exact	
811	Upgrade VIP to view	20	2	30,20,10,10,10,10,10,20,50,50,30,20,10	30;20;10;10;10;10;10;20;50;50;30;20;10	68	100	0.16	exact	
812	Upgrade VIP to view	20	2	20,20,10,10,10,10,10,10,20,30,30,20,10	20;20;10;10;10;10;10;10;20;30;30;20;10	36	4	0.02	exact	
813	Upgrade VIP to view	20	2	20,20,10,10,10,10,10,10,30,30,30,20,10	20;20;10;10;10;10;10;10;30;30;30;20;10	67	98	0.02	exact	
814	Upgrade VIP to view	20	2	20,20,20,10,10,10,10,40,50,40,20,20,20	20;20;20;10;10;10;10;40;50;40;20;20;20	68	99	0.09	exact	
815	Upgrade VIP to view	20	2	20,10,10,20,10,10,10,20,40,50,20,20,10	20;10;10;20;10;10;10;20;40;50;20;20;10	58	71	0.02	exact	
816	Upgrade VIP to view	20	2	20,10,10,10,10,10,10,20,50,40,20,20,10	20;10;10;10;10;10;10;20;50;40;20;20;10	68	100	0.02	exact	
817	Upgrade VIP to view	20	2	10,20,10,10,10,10,10,10,30,20,30,20,10	10;20;10;10;10;10;10;10;30;20;30;20;10	67	96	0.02	exact	
818	Upgrade VIP to view	20	2	30,20,10,10,20,10,10,40,40,50,30,10,10	30;20;10;10;20;10;10;40;40;50;30;10;10	66	93	0.11	exact	
819	Upgrade VIP to view	20	2	30,20,10,10,20,10,10,10,20,40,30,20,10	30;20;10;10;20;10;10;10;20;40;30;20;10	65	90	0.02	exact	
820	Upgrade VIP to view	20	2	10,10,20,10,10,10,10,20,50,30,30,10,10	10;10;20;10;10;10;10;20;50;30;30;10;10	62	83	0.02	exact	
821	Upgrade VIP to view	20	2	30,20,10,10,10,10,10,20,30,30,20,20,20	30;20;10;10;10;10;10;20;30;30;20;20;20	59	73	0.02	exact	
822	Upgrade VIP to view	20	2	50,20,10,20,10,10,20,20,40,30,30,30,30	50;20;10;20;10;10;20;20;40;30;30;30;30	68	100	0.02	exact	
823	Upgrade VIP to view	20	2	70,40,10,10,20,10,10,10,10,20,10,10,10	70;40;10;10;20;10;10;10;10;20;10;10;10	52	51	0.02	exact	
824	Upgrade VIP to view	20	2	20,20,10,10,10,10,10,20,30,40,20,10,10	20;20;10;10;10;10;10;20;30;40;20;10;10	66	95	0.02	exact	
825	Upgrade VIP to view	20	2	20,10,10,20,10,10,10,10,20,40,10,20,10	20;10;10;20;10;10;10;10;20;40;10;20;10	68	99	0.09	exact	
826	Upgrade VIP to view	20	2	40,30,20,10,10,10,10,30,50,50,30,10,10	40;30;20;10;10;10;10;30;50;50;30;10;10	67	98	0.02	exact	
827	Upgrade VIP to view	20	2	20,10,10,10,10,10,10,20,40,70,40,40,30	20;10;10;10;10;10;10;20;40;70;40;40;30	67	97	0.10	exact	
828	Upgrade VIP to view	20	3	10,10,10,10,20,10,10,10,40,70,20,20,20	10;10;10;10;20;10;10;10;40;70;20;20;20	49	55	0.02	exact	
829	Upgrade VIP to view	20	2	20,20,30,10,10,30,20,40,70,20,10,30,30	20;20;30;10;10;30;20;40;70;20;10;30;30	37	7	0.02	exact	
830	Upgrade VIP to view	20	2	10,10,10,20,70,30,20,20,20,20,30,30,20	10;10;10;20;70;30;20;20;20;20;30;30;20	66	93	0.02	exact	
831	Upgrade VIP to view	20	2	20,10,10,10,10,10,10,20,20,30,20,20,10	20;10;10;10;10;10;10;20;20;30;20;20;10	38	11	0.02	exact	
832	Upgrade VIP to view	20	3	20,10,10,20,10,20,10,20,20,20,10,20,20	20;10;10;20;10;20;10;20;20;20;10;20;20	64	100	0.11	exact	
833	Upgrade VIP to view	20	2	10,10,10,10,10,10,10,10,90,40,40,70,10	10;10;10;10;10;10;10;10;90;40;40;70;10	68	100	0.02	exact	
834	Upgrade VIP to view	20	2	30,30,20,10,20,10,10,20,40,30,30,40,20	30;30;20;10;20;10;10;20;40;30;30;40;20	68	100	0.02	exact	
835	Upgrade VIP to view	20	2	30,20,10,10,10,10,10,10,10,40,30,20,30	30;20;10;10;10;10;10;10;10;40;30;20;30	35	0	0.02	exact	
836	Upgrade VIP to view	20	1	20,10,20,10,10,10,10,40,20,30,10,20,10	20;10;20;10;10;10;10;40;20;30;10;20;10	64	74	0.67	exact	
837	Upgrade VIP to view	20	1	20,30,30,20,30,10,10,20,20,20,30,20,20	20;30;30;20;30;10;10;20;20;20;30;20;20	39	0	0.02	broad	
838	Upgrade VIP to view	20	4	30,10,10,0,10,10,10,20,40,50,70,20,20	30;10;10;0;10;10;10;20;40;50;70;20;20	60	100	0.10	phrase	
839	Upgrade VIP to view	20	4	10,10,10,10,10,0,10,10,20,50,70,20,10	10;10;10;10;10;0;10;10;20;50;70;20;10	55	86	0.10	phrase	
840	Upgrade VIP to view	20	5	30,10,10,0,10,10,10,20,50,50,40,10,10	30;10;10;0;10;10;10;20;50;50;40;10;10	49	81	0.14	broad	
841	Upgrade VIP to view	20	3	20,10,10,20,10,10,10,10,30,20,20,20,10	20;10;10;20;10;10;10;10;30;20;20;20;10	50	58	0.02	broad	
842	Upgrade VIP to view	20	5	20,10,10,10,10,10,20,20,40,40,30,30,20	20;10;10;10;10;10;20;20;40;40;30;30;20	56	100	0.02	phrase	
843	Upgrade VIP to view	20	2	30,10,10,10,20,10,10,20,40,50,40,30,20	30;10;10;10;20;10;10;20;40;50;40;30;20	35	0	0.02	phrase	
844	Upgrade VIP to view	20	2	30,30,10,10,10,20,10,10,30,30,40,30,30	30;30;10;10;10;20;10;10;30;30;40;30;30	35	1	0.02	phrase	
845	Upgrade VIP to view	20	1	0,10,40,10,20,170,20,10,10,10,10,10,10	0;10;40;10;20;170;20;10;10;10;10;10;10	39	0	0.02	broad	
846	Upgrade VIP to view	20	3	30,10,20,20,20,10,10,20,20,30,20,20,10	30;10;20;20;20;10;10;20;20;30;20;20;10	40	27	0.02	broad	
847	Upgrade VIP to view	20	1	20,30,10,20,20,10,10,20,10,20,10,20,10	20;30;10;20;20;10;10;20;10;20;10;20;10	46	20	0.02	broad	
848	Upgrade VIP to view	20	1	20,40,40,30,40,10,10,20,20,20,30,10,20	20;40;40;30;40;10;10;20;20;20;30;10;20	51	36	0.36	broad	
849	Upgrade VIP to view	20	1	20,30,10,20,20,20,10,10,20,20,20,20,10	20;30;10;20;20;20;10;10;20;20;20;20;10	55	49	0.02	broad	
850	Upgrade VIP to view	20	2	40,50,40,30,20,20,0,10,10,10,10,10,10	40;50;40;30;20;20;0;10;10;10;10;10;10	57	67	0.02	broad	
851	Upgrade VIP to view	20	2	50,40,50,30,30,10,10,10,10,20,10,10,10	50;40;50;30;30;10;10;10;10;20;10;10;10	53	56	0.02	broad	
852	Upgrade VIP to view	20	1	20,10,20,20,10,30,10,20,10,10,10,20,20	20;10;20;20;10;30;10;20;10;10;10;20;20	51	36	0.29	broad	
853	Upgrade VIP to view	20	2	40,20,20,20,20,10,10,10,20,30,10,10,10	40;20;20;20;20;10;10;10;20;30;10;10;10	68	100	0.02	broad	
854	Upgrade VIP to view	20	2	30,30,30,10,20,10,10,30,20,20,30,30,10	30;30;30;10;20;10;10;30;20;20;30;30;10	52	52	0.02	broad	
